filename,split,spectral_label,kmeans_label,n_nodes,n_edges,cyclomatic,avg_degree,max_degree,n_endpoints,n_junctions,branching_ratio,total_length,avg_length,std_length,avg_tortuosity,node_density,components
pt_graph_26,train,2,1,72,73,6,2.0277777777777777,5.0,38,31,0.8157894736842105,73.0,1.0,0.0,1000000.0,0.0,5
pt_graph_27,train,1,1,205,184,5,1.7951219512195122,4.0,109,61,0.5596330275229358,184.0,1.0,0.0,1000000.0,0.0,26
pt_graph_28,train,0,0,52,51,0,1.9615384615384615,4.0,26,23,0.8846153846153846,51.0,1.0,0.0,1000000.0,0.0,1
pt_graph_29,train,0,0,45,43,0,1.9111111111111112,3.0,23,19,0.8260869565217391,43.0,1.0,0.0,1000000.0,0.0,2
pt_graph_32,train,0,0,23,22,0,1.9130434782608696,4.0,13,10,0.7692307692307693,22.0,1.0,0.0,1000000.0,0.0,1
pt_graph_33,train,0,0,8,7,0,1.75,3.0,5,3,0.6,7.0,1.0,0.0,1000000.0,0.0,1
pt_graph_34,train,0,0,28,28,2,2.0,4.0,14,13,0.9285714285714286,28.0,1.0,0.0,1000000.0,0.0,2
pt_graph_35,train,0,0,26,25,0,1.9230769230769231,3.0,13,11,0.8461538461538461,25.0,1.0,0.0,1000000.0,0.0,1
pt_graph_36,train,0,0,41,42,3,2.048780487804878,4.0,19,20,1.0526315789473684,42.0,1.0,0.0,1000000.0,0.0,2
pt_graph_37,train,0,0,39,36,2,1.8461538461538463,4.0,22,15,0.6818181818181818,36.0,1.0,0.0,1000000.0,0.0,5
pt_graph_38,train,0,0,37,36,1,1.945945945945946,4.0,19,16,0.8421052631578947,36.0,1.0,0.0,1000000.0,0.0,2
pt_graph_39,train,0,0,31,33,3,2.129032258064516,4.0,12,15,1.25,33.0,1.0,0.0,1000000.0,0.0,1
pt_graph_40,train,2,1,83,85,6,2.0481927710843375,4.0,38,38,1.0,85.0,1.0,0.0,1000000.0,0.0,4
pt_graph_41,train,0,0,22,21,0,1.9090909090909092,3.0,12,10,0.8333333333333334,21.0,1.0,0.0,1000000.0,0.0,1
pt_graph_42,train,0,0,38,39,3,2.0526315789473686,3.0,17,19,1.1176470588235294,39.0,1.0,0.0,1000000.0,0.0,2
pt_graph_44,train,0,0,15,14,0,1.8666666666666667,3.0,8,6,0.75,14.0,1.0,0.0,1000000.0,0.0,1
pt_graph_45,train,0,0,34,32,0,1.8823529411764706,3.0,17,13,0.7647058823529411,32.0,1.0,0.0,1000000.0,0.0,2
pt_graph_46,train,0,0,52,49,0,1.8846153846153846,5.0,30,21,0.7,49.0,1.0,0.0,1000000.0,0.0,3
pt_graph_47,train,0,0,60,59,0,1.9666666666666666,4.0,32,26,0.8125,59.0,1.0,0.0,1000000.0,0.0,1
pt_graph_48,train,0,0,43,41,1,1.9069767441860466,4.0,23,18,0.782608695652174,41.0,1.0,0.0,1000000.0,0.0,3
pt_graph_49,train,0,0,25,24,0,1.92,4.0,14,11,0.7857142857142857,24.0,1.0,0.0,1000000.0,0.0,1
pt_graph_50,train,0,0,30,29,0,1.9333333333333333,4.0,16,13,0.8125,29.0,1.0,0.0,1000000.0,0.0,1
pt_graph_51,train,0,0,33,32,0,1.9393939393939394,3.0,17,15,0.8823529411764706,32.0,1.0,0.0,1000000.0,0.0,1
pt_graph_52,train,0,0,42,38,0,1.8095238095238095,3.0,25,17,0.68,38.0,1.0,0.0,1000000.0,0.0,4
pt_graph_53,train,0,0,27,25,0,1.8518518518518519,3.0,15,11,0.7333333333333333,25.0,1.0,0.0,1000000.0,0.0,2
pt_graph_54,train,0,0,12,11,0,1.8333333333333333,3.0,5,3,0.6,11.0,1.0,0.0,1000000.0,0.0,1
pt_graph_55,train,2,1,72,71,1,1.9722222222222223,4.0,37,32,0.8648648648648649,71.0,1.0,0.0,1000000.0,0.0,2
pt_graph_56,train,2,1,81,80,8,1.9753086419753085,6.0,42,34,0.8095238095238095,80.0,1.0,0.0,1000000.0,0.0,9
pt_graph_57,train,0,2,3,2,0,1.3333333333333333,2.0,2,0,0.0,2.0,1.0,0.0,1000000.0,0.0,1
pt_graph_58,train,0,2,20,16,0,1.6,3.0,14,6,0.42857142857142855,16.0,1.0,0.0,1000000.0,0.0,4
pt_graph_59,train,0,2,40,29,0,1.45,3.0,28,6,0.21428571428571427,29.0,1.0,0.0,1000000.0,0.0,11
pt_graph_60,train,0,0,12,11,0,1.8333333333333333,3.0,7,5,0.7142857142857143,11.0,1.0,0.0,1000000.0,0.0,1
pt_graph_61,train,0,2,6,3,0,1.0,1.0,6,0,0.0,3.0,1.0,0.0,1000000.0,0.0,3
pt_graph_62,train,0,2,14,8,0,1.1428571428571428,3.0,13,1,0.07692307692307693,8.0,1.0,0.0,1000000.0,0.0,6
pt_graph_63,train,0,2,10,6,0,1.2,3.0,9,1,0.1111111111111111,6.0,1.0,0.0,1000000.0,0.0,4
pt_graph_64,train,0,2,14,8,0,1.1428571428571428,2.0,12,0,0.0,8.0,1.0,0.0,1000000.0,0.0,6
pt_graph_65,train,0,1,54,62,11,2.2962962962962963,5.0,19,30,1.5789473684210527,62.0,1.0,0.0,1000000.0,0.0,3
pt_graph_66,train,0,0,31,32,2,2.064516129032258,3.0,14,16,1.1428571428571428,32.0,1.0,0.0,1000000.0,0.0,1
pt_graph_67,train,1,1,118,115,0,1.9491525423728813,4.0,62,54,0.8709677419354839,115.0,1.0,0.0,1000000.0,0.0,3
pt_graph_68,train,0,0,27,25,0,1.8518518518518519,3.0,15,11,0.7333333333333333,25.0,1.0,0.0,1000000.0,0.0,2
pt_graph_69,train,0,0,26,25,1,1.9230769230769231,4.0,14,11,0.7857142857142857,25.0,1.0,0.0,1000000.0,0.0,2
pt_graph_70,train,0,0,27,27,1,2.0,4.0,14,12,0.8571428571428571,27.0,1.0,0.0,1000000.0,0.0,1
pt_graph_71,train,0,0,37,36,0,1.945945945945946,4.0,20,17,0.85,36.0,1.0,0.0,1000000.0,0.0,1
pt_graph_72,train,0,0,24,22,0,1.8333333333333333,4.0,14,9,0.6428571428571429,22.0,1.0,0.0,1000000.0,0.0,2
pt_graph_73,train,0,2,5,4,0,1.6,3.0,3,1,0.3333333333333333,4.0,1.0,0.0,1000000.0,0.0,1
pt_graph_74,train,0,2,5,4,0,1.6,2.0,2,0,0.0,4.0,1.0,0.0,1000000.0,0.0,1
pt_graph_75,train,0,2,5,4,0,1.6,3.0,3,1,0.3333333333333333,4.0,1.0,0.0,1000000.0,0.0,1
pt_graph_76,train,0,2,13,11,0,1.6923076923076923,3.0,8,4,0.5,11.0,1.0,0.0,1000000.0,0.0,2
pt_graph_77,train,0,2,12,10,0,1.6666666666666667,3.0,7,3,0.42857142857142855,10.0,1.0,0.0,1000000.0,0.0,2
pt_graph_78,train,0,2,19,16,0,1.6842105263157894,3.0,11,5,0.45454545454545453,16.0,1.0,0.0,1000000.0,0.0,3
pt_graph_79,train,0,0,43,39,1,1.813953488372093,4.0,24,15,0.625,39.0,1.0,0.0,1000000.0,0.0,5
pt_graph_80,train,0,0,56,55,0,1.9642857142857142,4.0,29,26,0.896551724137931,55.0,1.0,0.0,1000000.0,0.0,1
pt_graph_81,train,0,0,25,23,0,1.84,3.0,14,10,0.7142857142857143,23.0,1.0,0.0,1000000.0,0.0,2
pt_graph_82,train,0,1,64,63,1,1.96875,4.0,34,30,0.8823529411764706,63.0,1.0,0.0,1000000.0,0.0,2
pt_graph_83,train,0,0,27,25,0,1.8518518518518519,3.0,15,11,0.7333333333333333,25.0,1.0,0.0,1000000.0,0.0,2
pt_graph_84,train,2,1,78,75,0,1.9230769230769231,4.0,43,34,0.7906976744186046,75.0,1.0,0.0,1000000.0,0.0,3
pt_graph_85,train,0,0,17,15,0,1.7647058823529411,4.0,10,5,0.5,15.0,1.0,0.0,1000000.0,0.0,2
pt_graph_86,train,0,2,23,16,0,1.391304347826087,4.0,18,3,0.16666666666666666,16.0,1.0,0.0,1000000.0,0.0,7
pt_graph_87,train,0,0,33,35,3,2.121212121212121,3.0,13,17,1.3076923076923077,35.0,1.0,0.0,1000000.0,0.0,1
pt_graph_88,train,0,0,33,34,2,2.0606060606060606,4.0,16,16,1.0,34.0,1.0,0.0,1000000.0,0.0,1
pt_graph_89,train,0,0,23,22,1,1.9130434782608696,3.0,11,9,0.8181818181818182,22.0,1.0,0.0,1000000.0,0.0,2
pt_graph_90,train,0,0,32,33,2,2.0625,3.0,13,15,1.1538461538461537,33.0,1.0,0.0,1000000.0,0.0,1
pt_graph_91,train,0,0,24,26,4,2.1666666666666665,3.0,7,11,1.5714285714285714,26.0,1.0,0.0,1000000.0,0.0,2
pt_graph_92,train,0,2,7,4,0,1.1428571428571428,2.0,6,0,0.0,4.0,1.0,0.0,1000000.0,0.0,3
pt_graph_93,train,0,2,8,5,0,1.25,3.0,7,1,0.14285714285714285,5.0,1.0,0.0,1000000.0,0.0,3
pt_graph_94,train,0,2,6,4,0,1.3333333333333333,3.0,5,1,0.2,4.0,1.0,0.0,1000000.0,0.0,2
pt_graph_95,train,0,0,17,16,1,1.8823529411764706,4.0,9,6,0.6666666666666666,16.0,1.0,0.0,1000000.0,0.0,2
pt_graph_96,train,0,0,19,16,1,1.6842105263157894,4.0,11,4,0.36363636363636365,16.0,1.0,0.0,1000000.0,0.0,4
pt_graph_97,train,0,2,18,14,0,1.5555555555555556,3.0,12,4,0.3333333333333333,14.0,1.0,0.0,1000000.0,0.0,4
pt_graph_98,train,1,1,118,120,4,2.0338983050847457,4.0,59,58,0.9830508474576272,120.0,1.0,0.0,1000000.0,0.0,2
pt_graph_99,train,2,1,81,86,6,2.123456790123457,4.0,38,41,1.0789473684210527,86.0,1.0,0.0,1000000.0,0.0,1
pt_graph_100,train,0,0,20,19,0,1.9,4.0,11,8,0.7272727272727273,19.0,1.0,0.0,1000000.0,0.0,1
pt_graph_101,train,0,0,19,18,0,1.894736842105263,3.0,10,8,0.8,18.0,1.0,0.0,1000000.0,0.0,1
pt_graph_102,train,0,2,8,7,0,1.75,3.0,4,2,0.5,7.0,1.0,0.0,1000000.0,0.0,1
pt_graph_103,train,0,0,19,17,2,1.7894736842105263,4.0,11,5,0.45454545454545453,17.0,1.0,0.0,1000000.0,0.0,4
pt_graph_104,train,0,0,19,17,2,1.7894736842105263,4.0,11,5,0.45454545454545453,17.0,1.0,0.0,1000000.0,0.0,4
pt_graph_105,train,0,0,19,17,2,1.7894736842105263,4.0,11,5,0.45454545454545453,17.0,1.0,0.0,1000000.0,0.0,4
pt_graph_106,train,0,2,23,14,0,1.2173913043478262,3.0,17,1,0.058823529411764705,14.0,1.0,0.0,1000000.0,0.0,9
pt_graph_107,train,0,0,22,21,0,1.9090909090909092,3.0,10,8,0.8,21.0,1.0,0.0,1000000.0,0.0,1
pt_graph_108,train,0,2,14,12,0,1.7142857142857142,3.0,8,4,0.5,12.0,1.0,0.0,1000000.0,0.0,2
pt_graph_109,train,0,0,32,31,5,1.9375,4.0,18,14,0.7777777777777778,31.0,1.0,0.0,1000000.0,0.0,6
pt_graph_110,train,0,0,40,36,5,1.8,4.0,25,13,0.52,36.0,1.0,0.0,1000000.0,0.0,9
pt_graph_111,train,0,0,30,30,5,2.0,4.0,16,14,0.875,30.0,1.0,0.0,1000000.0,0.0,5
pt_graph_112,train,0,0,45,38,4,1.6888888888888889,4.0,30,13,0.43333333333333335,38.0,1.0,0.0,1000000.0,0.0,11
pt_graph_113,train,0,1,61,47,3,1.540983606557377,4.0,37,14,0.3783783783783784,47.0,1.0,0.0,1000000.0,0.0,17
pt_graph_114,train,0,0,9,8,0,1.7777777777777777,3.0,5,3,0.6,8.0,1.0,0.0,1000000.0,0.0,1
pt_graph_115,train,0,0,12,11,0,1.8333333333333333,3.0,4,2,0.5,11.0,1.0,0.0,1000000.0,0.0,1
pt_graph_116,train,0,0,12,12,1,2.0,3.0,3,3,1.0,12.0,1.0,0.0,1000000.0,0.0,1
pt_graph_117,train,0,0,13,13,1,2.0,3.0,5,5,1.0,13.0,1.0,0.0,1000000.0,0.0,1
pt_graph_118,train,0,0,9,8,0,1.7777777777777777,3.0,5,3,0.6,8.0,1.0,0.0,1000000.0,0.0,1
pt_graph_119,train,0,0,16,15,1,1.875,3.0,9,7,0.7777777777777778,15.0,1.0,0.0,1000000.0,0.0,2
pt_graph_120,train,0,0,21,20,1,1.9047619047619047,3.0,11,9,0.8181818181818182,20.0,1.0,0.0,1000000.0,0.0,2
pt_graph_121,train,0,2,25,17,0,1.36,3.0,19,3,0.15789473684210525,17.0,1.0,0.0,1000000.0,0.0,8
pt_graph_122,train,0,0,17,14,1,1.6470588235294117,4.0,12,5,0.4166666666666667,14.0,1.0,0.0,1000000.0,0.0,4
pt_graph_123,train,0,2,16,12,0,1.5,3.0,12,4,0.3333333333333333,12.0,1.0,0.0,1000000.0,0.0,4
pt_graph_124,train,0,0,18,17,0,1.8888888888888888,3.0,8,6,0.75,17.0,1.0,0.0,1000000.0,0.0,1
pt_graph_125,train,0,2,26,20,2,1.5384615384615385,3.0,19,7,0.3684210526315789,20.0,1.0,0.0,1000000.0,0.0,8
pt_graph_126,train,0,2,19,11,0,1.1578947368421053,3.0,17,1,0.058823529411764705,11.0,1.0,0.0,1000000.0,0.0,8
pt_graph_127,train,0,2,24,16,0,1.3333333333333333,3.0,18,4,0.2222222222222222,16.0,1.0,0.0,1000000.0,0.0,8
pt_graph_128,train,0,0,10,10,1,2.0,3.0,5,5,1.0,10.0,1.0,0.0,1000000.0,0.0,1
pt_graph_129,train,0,0,12,12,1,2.0,3.0,6,6,1.0,12.0,1.0,0.0,1000000.0,0.0,1
pt_graph_131,train,0,0,26,25,1,1.9230769230769231,4.0,15,11,0.7333333333333333,25.0,1.0,0.0,1000000.0,0.0,2
pt_graph_132,train,0,0,42,41,3,1.9523809523809523,5.0,23,17,0.7391304347826086,41.0,1.0,0.0,1000000.0,0.0,4
pt_graph_133,train,0,2,7,5,0,1.4285714285714286,3.0,5,1,0.2,5.0,1.0,0.0,1000000.0,0.0,2
pt_graph_134,train,0,2,4,2,0,1.0,1.0,4,0,0.0,2.0,1.0,0.0,1000000.0,0.0,2
pt_graph_135,train,0,0,14,15,3,2.142857142857143,4.0,8,6,0.75,15.0,1.0,0.0,1000000.0,0.0,2
pt_graph_136,train,0,2,9,8,0,1.7777777777777777,3.0,4,2,0.5,8.0,1.0,0.0,1000000.0,0.0,1
pt_graph_137,train,0,0,29,26,2,1.793103448275862,4.0,17,10,0.5882352941176471,26.0,1.0,0.0,1000000.0,0.0,5
pt_graph_138,train,0,2,11,7,0,1.2727272727272727,3.0,9,1,0.1111111111111111,7.0,1.0,0.0,1000000.0,0.0,4
pt_graph_139,train,0,2,9,6,0,1.3333333333333333,3.0,7,1,0.14285714285714285,6.0,1.0,0.0,1000000.0,0.0,3
pt_graph_140,train,0,2,12,7,0,1.1666666666666667,3.0,11,1,0.09090909090909091,7.0,1.0,0.0,1000000.0,0.0,5
pt_graph_141,train,0,2,9,7,0,1.5555555555555556,3.0,6,2,0.3333333333333333,7.0,1.0,0.0,1000000.0,0.0,2
pt_graph_142,train,0,2,9,7,0,1.5555555555555556,3.0,6,2,0.3333333333333333,7.0,1.0,0.0,1000000.0,0.0,2
pt_graph_143,train,0,2,5,4,0,1.6,3.0,3,1,0.3333333333333333,4.0,1.0,0.0,1000000.0,0.0,1
pt_graph_144,train,0,0,28,28,2,2.0,3.0,14,14,1.0,28.0,1.0,0.0,1000000.0,0.0,2
pt_graph_145,train,0,0,18,18,1,2.0,3.0,9,9,1.0,18.0,1.0,0.0,1000000.0,0.0,1
pt_graph_146,train,0,0,16,15,0,1.875,3.0,9,7,0.7777777777777778,15.0,1.0,0.0,1000000.0,0.0,1
pt_graph_147,train,0,0,17,16,0,1.8823529411764706,4.0,10,7,0.7,16.0,1.0,0.0,1000000.0,0.0,1
pt_graph_148,train,0,0,25,24,0,1.92,4.0,14,11,0.7857142857142857,24.0,1.0,0.0,1000000.0,0.0,1
pt_graph_149,train,0,2,15,12,0,1.6,3.0,10,4,0.4,12.0,1.0,0.0,1000000.0,0.0,3
pt_graph_150,train,0,0,17,15,0,1.7647058823529411,3.0,10,6,0.6,15.0,1.0,0.0,1000000.0,0.0,2
pt_graph_151,train,0,0,23,23,2,2.0,4.0,10,9,0.9,23.0,1.0,0.0,1000000.0,0.0,2
pt_graph_152,train,0,2,6,4,0,1.3333333333333333,3.0,5,1,0.2,4.0,1.0,0.0,1000000.0,0.0,2
pt_graph_153,train,0,2,6,4,0,1.3333333333333333,3.0,5,1,0.2,4.0,1.0,0.0,1000000.0,0.0,2
pt_graph_154,train,0,2,6,4,0,1.3333333333333333,3.0,5,1,0.2,4.0,1.0,0.0,1000000.0,0.0,2
pt_graph_156,train,0,0,8,8,1,2.0,3.0,4,4,1.0,8.0,1.0,0.0,1000000.0,0.0,1
pt_graph_157,train,0,0,10,10,1,2.0,3.0,5,5,1.0,10.0,1.0,0.0,1000000.0,0.0,1
pt_graph_158,train,0,0,10,10,1,2.0,3.0,5,5,1.0,10.0,1.0,0.0,1000000.0,0.0,1
pt_graph_159,train,0,2,6,3,0,1.0,1.0,6,0,0.0,3.0,1.0,0.0,1000000.0,0.0,3
pt_graph_160,train,0,0,14,14,1,2.0,4.0,7,6,0.8571428571428571,14.0,1.0,0.0,1000000.0,0.0,1
pt_graph_161,train,0,0,36,34,6,1.8888888888888888,4.0,21,14,0.6666666666666666,34.0,1.0,0.0,1000000.0,0.0,8
pt_graph_162,train,0,0,42,38,3,1.8095238095238095,4.0,26,16,0.6153846153846154,38.0,1.0,0.0,1000000.0,0.0,7
pt_graph_163,train,0,0,42,34,3,1.619047619047619,3.0,26,10,0.38461538461538464,34.0,1.0,0.0,1000000.0,0.0,11
pt_graph_164,train,0,2,31,18,0,1.1612903225806452,3.0,28,2,0.07142857142857142,18.0,1.0,0.0,1000000.0,0.0,13
pt_graph_165,train,0,2,12,7,0,1.1666666666666667,3.0,11,1,0.09090909090909091,7.0,1.0,0.0,1000000.0,0.0,5
pt_graph_166,train,0,2,14,8,0,1.1428571428571428,3.0,13,1,0.07692307692307693,8.0,1.0,0.0,1000000.0,0.0,6
pt_graph_167,train,0,2,5,3,0,1.2,2.0,4,0,0.0,3.0,1.0,0.0,1000000.0,0.0,2
pt_graph_168,train,0,0,12,11,0,1.8333333333333333,3.0,6,4,0.6666666666666666,11.0,1.0,0.0,1000000.0,0.0,1
pt_graph_169,train,0,0,13,12,0,1.8461538461538463,4.0,8,5,0.625,12.0,1.0,0.0,1000000.0,0.0,1
pt_graph_170,train,0,2,6,4,0,1.3333333333333333,3.0,5,1,0.2,4.0,1.0,0.0,1000000.0,0.0,2
pt_graph_171,train,0,2,4,2,0,1.0,1.0,4,0,0.0,2.0,1.0,0.0,1000000.0,0.0,2
pt_graph_172,train,0,2,4,3,0,1.5,3.0,3,1,0.3333333333333333,3.0,1.0,0.0,1000000.0,0.0,1
pt_graph_173,train,0,0,12,11,0,1.8333333333333333,3.0,7,5,0.7142857142857143,11.0,1.0,0.0,1000000.0,0.0,1
pt_graph_174,train,0,0,21,21,1,2.0,4.0,11,10,0.9090909090909091,21.0,1.0,0.0,1000000.0,0.0,1
pt_graph_175,train,0,0,29,29,3,2.0,4.0,15,12,0.8,29.0,1.0,0.0,1000000.0,0.0,3
pt_graph_176,train,0,0,24,25,3,2.0833333333333335,5.0,12,10,0.8333333333333334,25.0,1.0,0.0,1000000.0,0.0,2
pt_graph_177,train,0,0,19,20,2,2.1052631578947367,4.0,9,9,1.0,20.0,1.0,0.0,1000000.0,0.0,1
pt_graph_178,train,0,0,20,19,1,1.9,4.0,11,8,0.7272727272727273,19.0,1.0,0.0,1000000.0,0.0,2
pt_graph_179,train,0,2,11,9,0,1.6363636363636365,3.0,7,3,0.42857142857142855,9.0,1.0,0.0,1000000.0,0.0,2
pt_graph_180,train,0,2,4,3,0,1.5,3.0,3,1,0.3333333333333333,3.0,1.0,0.0,1000000.0,0.0,1
pt_graph_181,train,0,0,22,23,2,2.090909090909091,5.0,11,11,1.0,23.0,1.0,0.0,1000000.0,0.0,1
pt_graph_182,train,0,2,16,13,0,1.625,3.0,11,5,0.45454545454545453,13.0,1.0,0.0,1000000.0,0.0,3
pt_graph_183,train,0,0,14,13,0,1.8571428571428572,3.0,8,6,0.75,13.0,1.0,0.0,1000000.0,0.0,1
pt_graph_184,train,0,2,13,10,0,1.5384615384615385,3.0,9,3,0.3333333333333333,10.0,1.0,0.0,1000000.0,0.0,3
pt_graph_185,train,0,0,14,14,1,2.0,3.0,7,7,1.0,14.0,1.0,0.0,1000000.0,0.0,1
pt_graph_186,train,0,2,20,16,1,1.6,3.0,13,5,0.38461538461538464,16.0,1.0,0.0,1000000.0,0.0,5
pt_graph_187,train,0,0,23,20,1,1.7391304347826086,3.0,14,8,0.5714285714285714,20.0,1.0,0.0,1000000.0,0.0,4
pt_graph_188,train,0,0,14,13,0,1.8571428571428572,3.0,8,6,0.75,13.0,1.0,0.0,1000000.0,0.0,1
pt_graph_189,train,0,0,17,17,1,2.0,4.0,9,8,0.8888888888888888,17.0,1.0,0.0,1000000.0,0.0,1
pt_graph_190,train,0,0,17,17,1,2.0,4.0,9,8,0.8888888888888888,17.0,1.0,0.0,1000000.0,0.0,1
pt_graph_191,train,0,0,40,37,0,1.85,3.0,22,16,0.7272727272727273,37.0,1.0,0.0,1000000.0,0.0,3
pt_graph_192,train,0,0,20,18,0,1.8,3.0,12,8,0.6666666666666666,18.0,1.0,0.0,1000000.0,0.0,2
pt_graph_193,train,0,0,31,29,0,1.8709677419354838,3.0,17,13,0.7647058823529411,29.0,1.0,0.0,1000000.0,0.0,2
pt_graph_194,train,0,2,6,4,0,1.3333333333333333,3.0,5,1,0.2,4.0,1.0,0.0,1000000.0,0.0,2
pt_graph_195,train,0,0,15,14,0,1.8666666666666667,3.0,8,6,0.75,14.0,1.0,0.0,1000000.0,0.0,1
pt_graph_196,train,0,0,14,13,0,1.8571428571428572,3.0,8,6,0.75,13.0,1.0,0.0,1000000.0,0.0,1
pt_graph_197,train,0,0,9,8,0,1.7777777777777777,3.0,5,3,0.6,8.0,1.0,0.0,1000000.0,0.0,1
pt_graph_198,train,0,0,14,13,0,1.8571428571428572,3.0,7,5,0.7142857142857143,13.0,1.0,0.0,1000000.0,0.0,1
pt_graph_199,train,0,0,19,20,2,2.1052631578947367,5.0,9,9,1.0,20.0,1.0,0.0,1000000.0,0.0,1
pt_graph_200,train,0,0,15,13,0,1.7333333333333334,4.0,9,4,0.4444444444444444,13.0,1.0,0.0,1000000.0,0.0,2
pt_graph_201,train,0,0,30,31,2,2.066666666666667,3.0,14,16,1.1428571428571428,31.0,1.0,0.0,1000000.0,0.0,1
pt_graph_202,train,0,0,43,42,2,1.9534883720930232,4.0,22,19,0.8636363636363636,42.0,1.0,0.0,1000000.0,0.0,3
pt_graph_203,train,0,0,44,42,1,1.9090909090909092,4.0,24,18,0.75,42.0,1.0,0.0,1000000.0,0.0,3
pt_graph_204,train,0,1,59,59,2,2.0,4.0,30,29,0.9666666666666667,59.0,1.0,0.0,1000000.0,0.0,2
pt_graph_205,train,2,1,67,71,5,2.1194029850746268,4.0,28,35,1.25,71.0,1.0,0.0,1000000.0,0.0,1
pt_graph_206,train,0,0,45,46,2,2.0444444444444443,4.0,21,22,1.0476190476190477,46.0,1.0,0.0,1000000.0,0.0,1
pt_graph_207,train,0,0,31,31,1,2.0,4.0,16,15,0.9375,31.0,1.0,0.0,1000000.0,0.0,1
pt_graph_208,train,0,0,26,27,2,2.076923076923077,4.0,12,13,1.0833333333333333,27.0,1.0,0.0,1000000.0,0.0,1
pt_graph_209,train,0,0,36,35,1,1.9444444444444444,3.0,18,16,0.8888888888888888,35.0,1.0,0.0,1000000.0,0.0,2
pt_graph_210,train,0,0,25,24,0,1.92,3.0,13,11,0.8461538461538461,24.0,1.0,0.0,1000000.0,0.0,1
pt_graph_211,train,0,2,10,8,0,1.6,3.0,7,3,0.42857142857142855,8.0,1.0,0.0,1000000.0,0.0,2
